ticker,contract_symbol,contract_type,strike,expiration,volume,open_interest,open,high,low,close,vwap
QQQ,O:QQQ260922C00659000,call,659,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00659000,put,659,2026-09-22,2.0,2,0.04,0.04,0.04,0.04,0.04
QQQ,O:QQQ260922C00660000,call,660,2026-09-22,2.0,0,56.99,56.99,56.99,56.99,56.99
QQQ,O:QQQ260922P00660000,put,660,2026-09-22,31.0,930,0.02,0.02,0.01,0.02,0.0171
QQQ,O:QQQ260922C00661000,call,661,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00661000,put,661,2026-09-22,4.0,4,0.03,0.04,0.03,0.04,0.035
QQQ,O:QQQ260922C00662000,call,662,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00662000,put,662,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00663000,call,663,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00663000,put,663,2026-09-22,20.0,0,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00664000,call,664,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00664000,put,664,2026-09-22,4.0,3,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00665000,call,665,2026-09-22,7.0,0,52.0,52.01,52.0,52.01,52.0029
QQQ,O:QQQ260922P00665000,put,665,2026-09-22,48.0,634,0.01,0.02,0.01,0.01,0.01083
QQQ,O:QQQ260922C00666000,call,666,2026-09-22,28.0,0,51.0,51.0,50.99,50.99,50.9904
QQQ,O:QQQ260922P00666000,put,666,2026-09-22,12.0,827,0.02,0.02,0.01,0.01,0.01083
QQQ,O:QQQ260922C00667000,call,667,2026-09-22,2.0,0,50.0,50.06,50.0,50.06,50.03
QQQ,O:QQQ260922P00667000,put,667,2026-09-22,23.0,135,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00668000,call,668,2026-09-22,2.0,0,49.0,49.0,49.0,49.0,49.0
QQQ,O:QQQ260922P00668000,put,668,2026-09-22,8.0,169,0.06,0.06,0.05,0.05,0.05875
QQQ,O:QQQ260922C00669000,call,669,2026-09-22,1.0,0,47.35,47.35,47.35,47.35,47.35
QQQ,O:QQQ260922P00669000,put,669,2026-09-22,14.0,111,0.02,0.02,0.01,0.01,0.01286
QQQ,O:QQQ260922C00670000,call,670,2026-09-22,31.0,0,63.14,65.58,63.14,65.58,64.8281
QQQ,O:QQQ260922P00670000,put,670,2026-09-22,91.0,736,0.02,0.02,0.01,0.02,0.0122
QQQ,O:QQQ260922C00671000,call,671,2026-09-22,8.0,0,46.02,46.02,46.01,46.01,46.0113
QQQ,O:QQQ260922P00671000,put,671,2026-09-22,3.0,187,0.03,0.03,0.03,0.03,0.03
QQQ,O:QQQ260922C00672000,call,672,2026-09-22,6.0,0,45.02,45.02,44.97,44.99,45.0
QQQ,O:QQQ260922P00672000,put,672,2026-09-22,143.0,293,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00673000,call,673,2026-09-22,4.0,0,44.03,44.03,43.97,43.99,44.0
QQQ,O:QQQ260922P00673000,put,673,2026-09-22,1387.0,329,0.01,0.03,0.01,0.02,0.02004
QQQ,O:QQQ260922C00674000,call,674,2026-09-22,4.0,0,43.02,43.02,42.97,42.99,43.0
QQQ,O:QQQ260922P00674000,put,674,2026-09-22,927.0,593,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00675000,call,675,2026-09-22,1.0,10,41.51,41.51,41.51,41.51,41.51
QQQ,O:QQQ260922P00675000,put,675,2026-09-22,2478.0,841,0.02,0.03,0.01,0.02,0.01996
QQQ,O:QQQ260922C00676000,call,676,2026-09-22,46.0,0,41.03,41.03,40.98,41.02,41.0193
QQQ,O:QQQ260922P00676000,put,676,2026-09-22,1068.0,577,0.03,0.03,0.01,0.02,0.02028
QQQ,O:QQQ260922C00677000,call,677,2026-09-22,6.0,0,40.05,40.05,39.98,40.01,40.015
QQQ,O:QQQ260922P00677000,put,677,2026-09-22,251.0,582,0.02,0.03,0.01,0.01,0.02514
QQQ,O:QQQ260922C00678000,call,678,2026-09-22,16.0,0,39.06,39.06,38.97,39.0,39.0375
QQQ,O:QQQ260922P00678000,put,678,2026-09-22,72.0,130,0.03,0.03,0.01,0.02,0.02056
QQQ,O:QQQ260922C00679000,call,679,2026-09-22,20.0,0,38.06,38.06,38.02,38.04,38.0555
QQQ,O:QQQ260922P00679000,put,679,2026-09-22,440.0,280,0.02,0.03,0.01,0.02,0.01843
QQQ,O:QQQ260922C00680000,call,680,2026-09-22,2.0,20,59.09,59.09,58.86,58.86,58.975
QQQ,O:QQQ260922P00680000,put,680,2026-09-22,540.0,976,0.03,0.03,0.01,0.02,0.0202
QQQ,O:QQQ260922C00681000,call,681,2026-09-22,40.0,0,34.5,36.1,34.5,36.04,35.9835
QQQ,O:QQQ260922P00681000,put,681,2026-09-22,309.0,712,0.03,0.03,0.01,0.02,0.02
QQQ,O:QQQ260922C00682000,call,682,2026-09-22,52.0,0,35.11,35.11,35.03,35.06,35.069
QQQ,O:QQQ260922P00682000,put,682,2026-09-22,209.0,457,0.02,0.03,0.01,0.02,0.0201
QQQ,O:QQQ260922C00683000,call,683,2026-09-22,170.0,0,33.46,33.46,33.46,33.46,33.46
QQQ,O:QQQ260922P00683000,put,683,2026-09-22,329.0,1191,0.03,0.03,0.02,0.02,0.02076
QQQ,O:QQQ260922C00684000,call,684,2026-09-22,4.0,0,33.09,33.09,33.04,33.08,33.07
QQQ,O:QQQ260922P00684000,put,684,2026-09-22,145.0,440,0.03,0.03,0.02,0.02,0.02034
QQQ,O:QQQ260922C00685000,call,685,2026-09-22,14.0,1,32.12,32.12,32.05,32.08,32.095
QQQ,O:QQQ260922P00685000,put,685,2026-09-22,226.0,3183,0.02,0.03,0.01,0.01,0.01593
QQQ,O:QQQ260922C00686000,call,686,2026-09-22,1.0,0,31.03,31.03,31.03,31.03,31.03
QQQ,O:QQQ260922P00686000,put,686,2026-09-22,248.0,1428,0.03,0.03,0.02,0.02,0.02488
QQQ,O:QQQ260922C00687000,call,687,2026-09-22,1.0,0,30.08,30.08,30.08,30.08,30.08
QQQ,O:QQQ260922P00687000,put,687,2026-09-22,950.0,2332,0.03,0.04,0.02,0.02,0.03023
QQQ,O:QQQ260922C00688000,call,688,2026-09-22,1.0,0,31.29,31.29,31.29,31.29,31.29
QQQ,O:QQQ260922P00688000,put,688,2026-09-22,1077.0,452,0.04,0.04,0.01,0.03,0.02309
QQQ,O:QQQ260922C00689000,call,689,2026-09-22,230.0,0,27.62,27.62,27.62,27.62,27.62
QQQ,O:QQQ260922P00689000,put,689,2026-09-22,271.0,328,0.03,0.03,0.02,0.02,0.02144
QQQ,O:QQQ260922C00690000,call,690,2026-09-22,1.0,0,38.13,38.13,38.13,38.13,38.13
QQQ,O:QQQ260922P00690000,put,690,2026-09-22,3806.0,846,0.04,0.04,0.02,0.02,0.02991
QQQ,O:QQQ260922C00691000,call,691,2026-09-22,1.0,0,27.29,27.29,27.29,27.29,27.29
QQQ,O:QQQ260922P00691000,put,691,2026-09-22,3257.0,536,0.04,0.04,0.02,0.03,0.02985
QQQ,O:QQQ260922C00692000,call,692,2026-09-22,4.0,0,36.0,40.46,36.0,40.46,38.23
QQQ,O:QQQ260922P00692000,put,692,2026-09-22,386.0,520,0.04,0.04,0.02,0.02,0.0313
QQQ,O:QQQ260922C00693000,call,693,2026-09-22,3.0,0,23.09,23.84,23.09,23.84,23.59
QQQ,O:QQQ260922P00693000,put,693,2026-09-22,719.0,491,0.03,0.04,0.01,0.01,0.02953
QQQ,O:QQQ260922C00694000,call,694,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00694000,put,694,2026-09-22,1097.0,341,0.03,0.04,0.02,0.02,0.03014
QQQ,O:QQQ260922C00695000,call,695,2026-09-22,36.0,2,43.78,44.68,42.63,43.85,43.8033
QQQ,O:QQQ260922P00695000,put,695,2026-09-22,912.0,592,0.06,0.06,0.01,0.03,0.03556
QQQ,O:QQQ260922C00696000,call,696,2026-09-22,1.0,0,21.44,21.44,21.44,21.44,21.44
QQQ,O:QQQ260922P00696000,put,696,2026-09-22,360.0,212,0.04,0.05,0.01,0.01,0.03614
QQQ,O:QQQ260922C00697000,call,697,2026-09-22,1.0,0,9.39,9.39,9.39,9.39,9.39
QQQ,O:QQQ260922P00697000,put,697,2026-09-22,452.0,656,0.05,0.05,0.01,0.01,0.03412
QQQ,O:QQQ260922C00698000,call,698,2026-09-22,5.0,0,18.62,18.62,18.62,18.62,18.62
QQQ,O:QQQ260922P00698000,put,698,2026-09-22,11971.0,579,0.05,0.05,0.01,0.01,0.03
QQQ,O:QQQ260922C00699000,call,699,2026-09-22,1.0,0,29.8,29.8,29.8,29.8,29.8
QQQ,O:QQQ260922P00699000,put,699,2026-09-22,11819.0,441,0.04,0.05,0.01,0.02,0.02977
QQQ,O:QQQ260922C00700000,call,700,2026-09-22,63.0,3,28.5,42.45,28.5,42.45,37.8548
QQQ,O:QQQ260922P00700000,put,700,2026-09-22,1429.0,1417,0.04,0.1,0.02,0.03,0.03426
QQQ,O:QQQ260922C00701000,call,701,2026-09-22,1.0,1,27.9,27.9,27.9,27.9,27.9
QQQ,O:QQQ260922P00701000,put,701,2026-09-22,371.0,1389,0.06,0.08,0.02,0.03,0.0427
QQQ,O:QQQ260922C00702000,call,702,2026-09-22,14.0,11,14.97,15.67,14.69,15.45,15.0343
QQQ,O:QQQ260922P00702000,put,702,2026-09-22,1879.0,779,0.08,0.08,0.02,0.03,0.04361
QQQ,O:QQQ260922C00703000,call,703,2026-09-22,14.0,0,14.53,16.58,14.53,16.58,16.0171
QQQ,O:QQQ260922P00703000,put,703,2026-09-22,633.0,650,0.05,0.07,0.02,0.03,0.04678
QQQ,O:QQQ260922C00704000,call,704,2026-09-22,21.0,28,24.3,31.04,24.3,31.04,27.8905
QQQ,O:QQQ260922P00704000,put,704,2026-09-22,805.0,744,0.06,0.07,0.02,0.03,0.04339
QQQ,O:QQQ260922C00705000,call,705,2026-09-22,40.0,29,27.3,37.69,27.22,37.69,33.9993
QQQ,O:QQQ260922P00705000,put,705,2026-09-22,920.0,1309,0.07,0.09,0.02,0.03,0.04843
QQQ,O:QQQ260922C00706000,call,706,2026-09-22,1.0,2,35.89,35.89,35.89,35.89,35.89
QQQ,O:QQQ260922P00706000,put,706,2026-09-22,1860.0,802,0.11,0.11,0.02,0.03,0.03885
QQQ,O:QQQ260922C00707000,call,707,2026-09-22,13.0,0,12.75,12.75,10.04,10.35,10.4785
QQQ,O:QQQ260922P00707000,put,707,2026-09-22,2402.0,764,0.11,0.11,0.02,0.03,0.04602
QQQ,O:QQQ260922C00708000,call,708,2026-09-22,4.0,6,22.25,33.94,22.25,33.94,27.835
QQQ,O:QQQ260922P00708000,put,708,2026-09-22,1438.0,613,0.13,0.13,0.02,0.03,0.0537
QQQ,O:QQQ260922C00709000,call,709,2026-09-22,2.0,90,33.8,33.8,33.8,33.8,33.8
QQQ,O:QQQ260922P00709000,put,709,2026-09-22,1244.0,842,0.11,0.13,0.03,0.03,0.05076
QQQ,O:QQQ260922C00710000,call,710,2026-09-22,30.0,436,22.57,30.99,22.57,30.99,24.964
QQQ,O:QQQ260922P00710000,put,710,2026-09-22,3762.0,1447,0.19,0.19,0.03,0.04,0.06972
QQQ,O:QQQ260922C00711000,call,711,2026-09-22,25.0,185,17.35,25.53,17.35,25.48,23.84
QQQ,O:QQQ260922P00711000,put,711,2026-09-22,1657.0,605,0.15,0.15,0.03,0.04,0.07483
QQQ,O:QQQ260922C00712000,call,712,2026-09-22,26.0,311,16.17,31.24,16.0,29.51,24.4281
QQQ,O:QQQ260922P00712000,put,712,2026-09-22,2579.0,1013,0.19,0.19,0.04,0.05,0.09063
QQQ,O:QQQ260922C00713000,call,713,2026-09-22,19.0,313,16.39,29.56,16.39,29.56,19.9563
QQQ,O:QQQ260922P00713000,put,713,2026-09-22,909.0,1149,0.26,0.26,0.04,0.05,0.1101
QQQ,O:QQQ260922C00714000,call,714,2026-09-22,52.0,466,14.49,28.59,14.41,28.59,18.6373
QQQ,O:QQQ260922P00714000,put,714,2026-09-22,2016.0,2133,0.49,0.49,0.04,0.04,0.09489
QQQ,O:QQQ260922C00715000,call,715,2026-09-22,198.0,696,13.75,27.72,13.62,26.16,21.9199
QQQ,O:QQQ260922C00716000,call,716,2026-09-22,60.0,1056,12.43,26.31,12.32,25.06,18.5687
QQQ,O:QQQ260922C00717000,call,717,2026-09-22,102.0,851,11.49,26.22,11.44,25.03,19.2745
QQQ,O:QQQ260922C00718000,call,718,2026-09-22,157.0,1246,9.9,24.81,9.9,23.92,16.4078
QQQ,O:QQQ260922C00719000,call,719,2026-09-22,205.0,902,9.39,23.83,9.28,22.44,17.0199
QQQ,O:QQQ260922C00720000,call,720,2026-09-22,868.0,2007,6.7,23.07,6.7,21.4,13.2463
QQQ,O:QQQ260922C00721000,call,721,2026-09-22,334.0,1744,7.94,21.66,7.52,20.58,12.944
QQQ,O:QQQ260922C00722000,call,722,2026-09-22,647.0,2540,7.0,21.01,6.62,19.62,12.5182
QQQ,O:QQQ260922C00723000,call,723,2026-09-22,911.0,795,5.89,20.29,5.84,18.27,11.5259
QQQ,O:QQQ260922C00724000,call,724,2026-09-22,764.0,1052,5.46,18.12,5.1,18.11,9.6549
QQQ,O:QQQ260922C00725000,call,725,2026-09-22,2696.0,4148,4.24,18.22,4.24,16.18,7.0472
QQQ,O:QQQ260922C00726000,call,726,2026-09-22,1501.0,2172,3.86,17.22,3.18,15.31,8.4407
QQQ,O:QQQ260922C00727000,call,727,2026-09-22,1663.0,1369,2.94,15.6,2.91,15.01,6.6191
QQQ,O:QQQ260922C00728000,call,728,2026-09-22,4283.0,1707,2.0,15.31,1.58,13.58,5.2428
QQQ,O:QQQ260922C00729000,call,729,2026-09-22,6519.0,1095,1.52,14.22,1.52,12.26,3.775
QQQ,O:QQQ260922C00730000,call,730,2026-09-22,11051.0,3956,1.6,13.3,0.8,11.63,3.9285
QQQ,O:QQQ260922C00731000,call,731,2026-09-22,10166.0,4795,1.1,12.52,0.84,10.69,2.7596
QQQ,O:QQQ260922C00732000,call,732,2026-09-22,11727.0,4235,0.82,11.52,0.55,9.72,3.0039
QQQ,O:QQQ260922C00733000,call,733,2026-09-22,12463.0,1210,0.65,10.45,0.59,8.7,2.8826
QQQ,O:QQQ260922C00734000,call,734,2026-09-22,10738.0,679,0.52,9.19,0.43,7.88,2.6966
QQQ,O:QQQ260922C00735000,call,735,2026-09-22,29474.0,1014,0.36,8.72,0.29,6.97,2.2026
QQQ,O:QQQ260922C00736000,call,736,2026-09-22,18075.0,1432,0.32,7.83,0.22,6.14,2.5189
QQQ,O:QQQ260922C00737000,call,737,2026-09-22,19360.0,1071,0.16,7.05,0.16,5.39,2.2895
QQQ,O:QQQ260922C00738000,call,738,2026-09-22,37460.0,1307,0.11,6.23,0.1,4.59,2.223
QQQ,O:QQQ260922C00739000,call,739,2026-09-22,36292.0,374,0.08,5.43,0.07,3.89,2.4141
QQQ,O:QQQ260922C00740000,call,740,2026-09-22,62340.0,1652,0.05,4.72,0.05,3.2,1.6777
QQQ,O:QQQ260922C00741000,call,741,2026-09-22,37298.0,393,0.03,4.01,0.03,2.64,1.9348
QQQ,O:QQQ260922C00742000,call,742,2026-09-22,35949.0,460,0.03,3.37,0.03,2.1,1.9714
QQQ,O:QQQ260922C00743000,call,743,2026-09-22,30766.0,263,0.04,2.82,0.04,1.7,1.5927
QQQ,O:QQQ260922C00744000,call,744,2026-09-22,45265.0,195,0.02,2.3,0.02,1.35,0.9966
QQQ,O:QQQ260922C00745000,call,745,2026-09-22,34887.0,239,0.01,1.87,0.01,1.06,0.9236
QQQ,O:QQQ260922C00746000,call,746,2026-09-22,17642.0,65,0.05,1.48,0.04,0.83,0.7487
QQQ,O:QQQ260922C00747000,call,747,2026-09-22,12546.0,69,0.01,1.17,0.01,0.64,0.6007
QQQ,O:QQQ260922C00748000,call,748,2026-09-22,26025.0,181,0.02,0.91,0.02,0.51,0.4376
QQQ,O:QQQ260922C00749000,call,749,2026-09-22,8630.0,65,0.02,0.7,0.01,0.38,0.3577
QQQ,O:QQQ260922C00750000,call,750,2026-09-22,26263.0,1026,0.01,0.55,0.01,0.3,0.2391
QQQ,O:QQQ260922C00751000,call,751,2026-09-22,4096.0,85,0.05,0.42,0.04,0.22,0.2168
QQQ,O:QQQ260922C00752000,call,752,2026-09-22,6357.0,14,0.02,0.33,0.02,0.18,0.1666
QQQ,O:QQQ260922C00753000,call,753,2026-09-22,3993.0,188,0.03,0.26,0.03,0.13,0.1271
QQQ,O:QQQ260922C00754000,call,754,2026-09-22,5551.0,130,0.01,0.2,0.01,0.12,0.1051
QQQ,O:QQQ260922C00755000,call,755,2026-09-22,3083.0,187,0.01,0.17,0.01,0.09,0.07897
QQQ,O:QQQ260922C00756000,call,756,2026-09-22,2943.0,1148,0.01,0.15,0.01,0.08,0.05532
QQQ,O:QQQ260922C00757000,call,757,2026-09-22,1837.0,3308,0.02,0.11,0.01,0.06,0.05441
QQQ,O:QQQ260922C00758000,call,758,2026-09-22,1774.0,3412,0.01,0.1,0.01,0.05,0.04242
QQQ,O:QQQ260922C00759000,call,759,2026-09-22,755.0,948,0.01,0.08,0.01,0.04,0.03756
QQQ,O:QQQ260922C00760000,call,760,2026-09-22,4221.0,109,0.02,0.07,0.01,0.03,0.03564
QQQ,O:QQQ260922C00765000,call,765,2026-09-22,3042.0,141,0.01,0.04,0.01,0.03,0.02653
QQQ,O:QQQ260922C00770000,call,770,2026-09-22,977.0,153,0.01,0.03,0.01,0.02,0.01705
QQQ,O:QQQ260922C00775000,call,775,2026-09-22,1997.0,138,0.01,0.02,0.01,0.02,0.01158
QQQ,O:QQQ260922C00780000,call,780,2026-09-22,555.0,36,0.01,0.02,0.01,0.02,0.01002
QQQ,O:QQQ260922C00785000,call,785,2026-09-22,976.0,44,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00790000,call,790,2026-09-22,155.0,120,0.01,0.02,0.01,0.01,0.01032
QQQ,O:QQQ260922C00795000,call,795,2026-09-22,29.0,258,0.01,0.02,0.01,0.02,0.01552
QQQ,O:QQQ260922C00800000,call,800,2026-09-22,422.0,3,0.02,0.02,0.01,0.01,0.01126
QQQ,O:QQQ260922C00805000,call,805,2026-09-22,294.0,55,0.02,0.02,0.01,0.02,0.01078
QQQ,O:QQQ260922C00810000,call,810,2026-09-22,1292.0,0,0.02,0.02,0.01,0.02,0.0108
QQQ,O:QQQ260922C00815000,call,815,2026-09-22,10.0,10,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00820000,call,820,2026-09-22,1.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00825000,call,825,2026-09-22,106.0,0,0.02,0.02,0.01,0.01,0.01038
QQQ,O:QQQ260922C00830000,call,830,2026-09-22,15.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00835000,call,835,2026-09-22,252.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00840000,call,840,2026-09-22,764.0,0,0.01,0.02,0.01,0.02,0.01016
QQQ,O:QQQ260922C00845000,call,845,2026-09-22,323.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00850000,call,850,2026-09-22,593.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00855000,call,855,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00860000,call,860,2026-09-22,2.0,0,0.03,0.03,0.03,0.03,0.03
QQQ,O:QQQ260922C00865000,call,865,2026-09-22,280.0,0,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00870000,call,870,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00875000,call,875,2026-09-22,5.0,0,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00880000,call,880,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00885000,call,885,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00890000,call,890,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00895000,call,895,2026-09-22,,0,,,,,
QQQ,O:QQQ260922C00900000,call,900,2026-09-22,,0,,,,,
